Individual_ID,Scientific_Name,Plant_Nickname,Patch,Patch_Size,Shade_Status,Wild,Watered,Fertilized,Gender,Planting_Date,Plant_Comments,Plant_Registration_Date,Death_Date_Observed,Last_Date_Observed_Alive,Death_Reason,Death_Comments,Plant_Image_URL,Plant_Image_Upload_Date
1001,vinifera,plant-1001,,,Mostly sun,0,1,1,,,,2015-01-01,,,,,,
1002,vinifera,plant-1002,,,Mostly sun,1,1,1,,,,2015-01-01,,,,,,
1003,vinifera,plant-1003,,,Full sun,0,1,1,Male,,,2015-01-01,,,,,,
2001,vinifera,plant-2001,,,Full sun,1,0,0,Female,,,2015-01-01,,,,,,
2002,vinifera,plant-2002,,,Partial shade,0,1,1,,,,2015-01-01,,,,,,
2003,vinifera,plant-2003,,,Mostly shade,1,0,1,Male,,,2015-01-01,,,,,,
3001,vinifera,plant-3001,,,Partial shade,1,0,1,Female,,,2015-01-01,,,,,,
3002,vinifera,plant-3002,,,Mostly shade,1,0,0,Both,,,2015-01-01,,,,,,
3003,vinifera,plant-3003,,,Partial shade,0,0,0,Female,,,2015-01-01,,,,,,
4001,vinifera,plant-4001,,,Mostly sun,1,0,1,Male,,,2015-01-01,,,,,,
4002,vinifera,plant-4002,,,Mostly sun,1,0,1,Both,,,2015-01-01,,,,,,
4003,vinifera,plant-4003,,,Mostly sun,1,1,0,,,,2015-01-01,,,,,,
5001,vinifera,plant-5001,,,Partial shade,1,0,1,Female,,,2015-01-01,,,,,,
5002,vinifera,plant-5002,,,Partial shade,1,0,1,Male,,,2015-01-01,,,,,,
5003,vinifera,plant-5003,,,Mostly shade,1,1,1,Male,,,2015-01-01,,,,,,
