Site_Visit_ID,Travel_Time,Total_Observation_Time,Animal_Search_Time,Num_Observers_Searching,Animal_Search_Method,Snow_on_Ground,Percent_Snow_Cover,Snow_in_Tree_Canopy,Site_Visit_Comments
17849,,51 minutes,,,,0,,0,
10189,,13 minutes,,,,0,,0,
11899,,38 minutes,,,,0,,0,
13890,,27 minutes,,,,0,,0,
18433,,35 minutes,,,,0,,0,
17099,,53 minutes,,,,0,,0,
13152,,43 minutes,,,,0,,0,
13843,,19 minutes,,,,0,,0,
16873,,45 minutes,,,,0,,0,
10995,,23 minutes,,,,0,,0,
17629,,40 minutes,,,,0,,0,
12731,,57 minutes,,,,0,,0,
18110,,24 minutes,,,,0,,0,
19062,,17 minutes,,,,0,,0,
10863,,23 minutes,,,,0,,0,
17574,,32 minutes,,,,0,,0,
19914,,49 minutes,,,,0,,0,
19789,,30 minutes,,,,0,,0,
15450,,25 minutes,,,,0,,0,
17392,,54 minutes,,,,0,,0,
15864,,27 minutes,,,,0,,0,
15530,,56 minutes,,,,0,,0,
14931,,33 minutes,,,,0,,0,
14389,,35 minutes,,,,0,,0,
16287,,34 minutes,,,,0,,0,
12511,,54 minutes,,,,0,,0,
17098,,50 minutes,,,,0,,0,
18338,,38 minutes,,,,0,,0,
18680,,24 minutes,,,,0,,0,
12385,,54 minutes,,,,0,,0,
15534,,10 minutes,,,,0,,0,
18815,,34 minutes,,,,0,,0,
12049,,16 minutes,,,,0,,0,
13108,,18 minutes,,,,0,,0,
17400,,33 minutes,,,,0,,0,
11218,,10 minutes,,,,0,,0,
13446,,53 minutes,,,,0,,0,
13436,,17 minutes,,,,0,,0,
10225,,33 minutes,,,,0,,0,
17022,,20 minutes,,,,0,,0,
17679,,26 minutes,,,,0,,0,
11060,,17 minutes,,,,0,,0,
15801,,44 minutes,,,,0,,0,
16971,,44 minutes,,,,0,,0,
16655,,42 minutes,,,,0,,0,
16614,,14 minutes,,,,0,,0,
15919,,51 minutes,,,,0,,0,
13769,,48 minutes,,,,0,,0,
16457,,50 minutes,,,,0,,0,
14777,,37 minutes,,,,0,,0,
13124,,16 minutes,,,,0,,0,
15222,,18 minutes,,,,0,,0,
17027,,17 minutes,,,,0,,0,
17079,,21 minutes,,,,0,,0,
19435,,43 minutes,,,,0,,0,
16617,,42 minutes,,,,0,,0,
17421,,57 minutes,,,,0,,0,
16665,,32 minutes,,,,0,,0,
12489,,33 minutes,,,,0,,0,
14611,,46 minutes,,,,0,,0,
19087,,44 minutes,,,,0,,0,
12427,,53 minutes,,,,0,,0,
18967,,49 minutes,,,,0,,0,
18808,,31 minutes,,,,0,,0,
17164,,36 minutes,,,,0,,0,
12504,,44 minutes,,,,0,,0,
14079,,10 minutes,,,,0,,0,
17266,,44 minutes,,,,0,,0,
11167,,46 minutes,,,,0,,0,
14729,,56 minutes,,,,0,,0,
16731,,23 minutes,,,,0,,0,
11542,,12 minutes,,,,0,,0,
16938,,10 minutes,,,,0,,0,
15541,,14 minutes,,,,0,,0,
11365,,35 minutes,,,,0,,0,
13072,,23 minutes,,,,0,,0,
10504,,48 minutes,,,,0,,0,
10928,,36 minutes,,,,0,,0,
15348,,18 minutes,,,,0,,0,
16190,,24 minutes,,,,0,,0,
13486,,24 minutes,,,,0,,0,
18662,,35 minutes,,,,0,,0,
15063,,51 minutes,,,,0,,0,
18415,,22 minutes,,,,0,,0,
16970,,41 minutes,,,,0,,0,
18702,,48 minutes,,,,0,,0,
19860,,58 minutes,,,,0,,0,
17245,,41 minutes,,,,0,,0,
14544,,13 minutes,,,,0,,0,
10249,,39 minutes,,,,0,,0,
11077,,46 minutes,,,,0,,0,
14719,,32 minutes,,,,0,,0,
14673,,48 minutes,,,,0,,0,
16238,,54 minutes,,,,0,,0,
11887,,24 minutes,,,,0,,0,
16777,,52 minutes,,,,0,,0,
13900,,38 minutes,,,,0,,0,
12593,,45 minutes,,,,0,,0,
11276,,22 minutes,,,,0,,0,
18717,,41 minutes,,,,0,,0,
16809,,16 minutes,,,,0,,0,
15126,,31 minutes,,,,0,,0,
16506,,37 minutes,,,,0,,0,
16882,,11 minutes,,,,0,,0,
18905,,51 minutes,,,,0,,0,
16229,,54 minutes,,,,0,,0,
16288,,15 minutes,,,,0,,0,
16316,,37 minutes,,,,0,,0,
18915,,37 minutes,,,,0,,0,
19765,,53 minutes,,,,0,,0,
19093,,53 minutes,,,,0,,0,
12219,,29 minutes,,,,0,,0,
12832,,39 minutes,,,,0,,0,
13490,,20 minutes,,,,0,,0,
11908,,37 minutes,,,,0,,0,
12560,,34 minutes,,,,0,,0,
19064,,48 minutes,,,,0,,0,
19506,,42 minutes,,,,0,,0,
17546,,10 minutes,,,,0,,0,
10600,,36 minutes,,,,0,,0,
16943,,22 minutes,,,,0,,0,
12190,,50 minutes,,,,0,,0,
14033,,12 minutes,,,,0,,0,
14018,,48 minutes,,,,0,,0,
16371,,15 minutes,,,,0,,0,
13228,,17 minutes,,,,0,,0,
10094,,36 minutes,,,,0,,0,
16166,,18 minutes,,,,0,,0,
10984,,46 minutes,,,,0,,0,
13876,,42 minutes,,,,0,,0,
16024,,51 minutes,,,,0,,0,
11792,,53 minutes,,,,0,,0,
19397,,33 minutes,,,,0,,0,
14021,,24 minutes,,,,0,,0,
12708,,41 minutes,,,,0,,0,
19138,,41 minutes,,,,0,,0,
14873,,33 minutes,,,,0,,0,
13462,,50 minutes,,,,0,,0,
18519,,58 minutes,,,,0,,0,
13675,,58 minutes,,,,0,,0,
19503,,21 minutes,,,,0,,0,
16612,,48 minutes,,,,0,,0,
14425,,11 minutes,,,,0,,0,
14177,,12 minutes,,,,0,,0,
14841,,58 minutes,,,,0,,0,
10804,,46 minutes,,,,0,,0,
17083,,58 minutes,,,,0,,0,
12679,,26 minutes,,,,0,,0,
14831,,58 minutes,,,,0,,0,
12599,,11 minutes,,,,0,,0,
12541,,11 minutes,,,,0,,0,
18996,,37 minutes,,,,0,,0,
15475,,32 minutes,,,,0,,0,
17141,,46 minutes,,,,0,,0,
19442,,41 minutes,,,,0,,0,
16212,,42 minutes,,,,0,,0,
11762,,10 minutes,,,,0,,0,
10153,,28 minutes,,,,0,,0,
15760,,11 minutes,,,,0,,0,
17970,,53 minutes,,,,0,,0,
18363,,35 minutes,,,,0,,0,
16667,,41 minutes,,,,0,,0,
13004,,15 minutes,,,,0,,0,
17982,,41 minutes,,,,0,,0,
10338,,13 minutes,,,,0,,0,
15604,,20 minutes,,,,0,,0,
16609,,26 minutes,,,,0,,0,
18044,,47 minutes,,,,0,,0,
17206,,33 minutes,,,,0,,0,
18436,,14 minutes,,,,0,,0,
17069,,43 minutes,,,,0,,0,
13760,,15 minutes,,,,0,,0,
14388,,31 minutes,,,,0,,0,
18056,,20 minutes,,,,0,,0,
19130,,57 minutes,,,,0,,0,
17486,,25 minutes,,,,0,,0,
11868,,42 minutes,,,,0,,0,
15690,,18 minutes,,,,0,,0,
19076,,15 minutes,,,,0,,0,
10824,,25 minutes,,,,0,,0,
16402,,38 minutes,,,,0,,0,
10726,,12 minutes,,,,0,,0,
14675,,29 minutes,,,,0,,0,
19179,,45 minutes,,,,0,,0,
19547,,28 minutes,,,,0,,0,
19752,,35 minutes,,,,0,,0,
17291,,12 minutes,,,,0,,0,
11007,,28 minutes,,,,0,,0,
11435,,29 minutes,,,,0,,0,
17491,,41 minutes,,,,0,,0,
18073,,16 minutes,,,,0,,0,
16353,,50 minutes,,,,0,,0,
15346,,42 minutes,,,,0,,0,
19645,,49 minutes,,,,0,,0,
10038,,48 minutes,,,,0,,0,
