Observation_ID,Dataset_ID,ObservedBy_Person_ID,Submission_ID,SubmittedBy_Person_ID,Submission_Datetime,UpdatedBy_Person_ID,Update_Datetime,Partner_Group,Site_ID,Site_Name,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Species_Functional_Type,Species_Category,Lifecycle_Duration,Growth_Habit,USDA_PLANTS_Symbol,ITIS_Number,Individual_ID,Plant_Nickname,Patch,Protocol_ID,Phenophase_ID,Phenophase_Category,Phenophase_Description,Phenophase_Name,Phenophase_Definition_ID,Species-Specific_Info_ID,Observation_Date,Observation_Time,Day_of_Year,Phenophase_Status,Intensity_Category_ID,Intensity_Value,Abundance_Value,Site_Visit_ID,Observation_Comments,Observed_Status_Conflict_Flag,Status_Conflict_Related_Records
1000000,-9999,4632,38666,2082,2015-04-01 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,7558,2015-04-01,12:00:00,91,0,-9999,-9999,-9999,17849,-9999,-9999,'-9999'
1000001,-9999,3047,32747,1975,2015-04-14 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,6806,2015-04-14,12:00:00,104,0,-9999,-9999,-9999,10189,-9999,-9999,'-9999'
1000002,-9999,4005,49118,4005,2015-04-23 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,5562,2015-04-23,12:00:00,113,0,-9999,-9999,-9999,11899,-9999,-9999,'-9999'
1000003,-9999,4638,31267,3879,2015-05-10 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,6528,2015-05-10,12:00:00,130,1,41,3 to 10,-9999,13890,-9999,-9999,'-9999'
1000004,-9999,1646,57464,3214,2015-05-20 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,6297,2015-05-20,12:00:00,140,1,42,3 to 10,-9999,18433,-9999,-9999,'-9999'
1000005,-9999,3041,41016,4417,2015-05-22 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,7612,2015-05-22,12:00:00,142,1,40,"101 to 1,000",-9999,17099,-9999,-9999,'-9999'
1000006,-9999,2478,45787,3556,2015-05-27 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,5775,2015-05-27,12:00:00,147,1,41,11 to 100,-9999,13152,-9999,-9999,'-9999'
1000007,-9999,2955,31585,4943,2015-05-30 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,6021,2015-05-30,12:00:00,150,1,50,11 to 100,-9999,13843,-9999,-9999,'-9999'
1000008,-9999,4893,39692,1702,2015-06-21 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,7449,2015-06-21,12:00:00,172,0,-9999,-9999,-9999,16873,-9999,-9999,'-9999'
1000009,-9999,2579,30161,1201,2015-06-26 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,6981,2015-06-26,12:00:00,177,0,-9999,-9999,-9999,10995,-9999,-9999,'-9999'
1000010,-9999,3317,59487,4342,2015-07-16 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,5455,2015-07-16,12:00:00,197,0,-9999,-9999,-9999,17629,-9999,-9999,'-9999'
1000011,-9999,4119,59174,3454,2015-07-21 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,390,Fruits,Ripe fruits,Ripe fruits,390,6751,2015-07-21,12:00:00,202,1,48,"101 to 1,000",-9999,12731,-9999,-9999,'-9999'
1000012,-9999,2895,40965,2570,2015-07-26 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,390,Fruits,Ripe fruits,Ripe fruits,390,5960,2015-07-26,12:00:00,207,1,41,3 to 10,-9999,18110,-9999,-9999,'-9999'
1000013,-9999,2485,57266,4840,2015-07-27 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,390,Fruits,Ripe fruits,Ripe fruits,390,6028,2015-07-27,12:00:00,208,1,56,"101 to 1,000",-9999,19062,-9999,-9999,'-9999'
1000014,-9999,3842,50872,1206,2015-07-29 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,390,Fruits,Ripe fruits,Ripe fruits,390,6038,2015-07-29,12:00:00,210,1,41,"101 to 1,000",-9999,10863,-9999,-9999,'-9999'
1000015,-9999,3790,53792,1563,2015-08-16 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,390,Fruits,Ripe fruits,Ripe fruits,390,6020,2015-08-16,12:00:00,228,1,42,11 to 100,-9999,17574,-9999,-9999,'-9999'
1000016,-9999,3278,53276,2678,2015-08-22 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,390,Fruits,Ripe fruits,Ripe fruits,390,5540,2015-08-22,12:00:00,234,1,42,3 to 10,-9999,19914,-9999,-9999,'-9999'
1000017,-9999,4314,49541,2819,2015-09-18 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,390,Fruits,Ripe fruits,Ripe fruits,390,7625,2015-09-18,12:00:00,261,0,-9999,-9999,-9999,19789,-9999,-9999,'-9999'
1000018,-9999,4060,32693,1795,2015-10-06 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,390,Fruits,Ripe fruits,Ripe fruits,390,6051,2015-10-06,12:00:00,279,1,42,11 to 100,-9999,15450,-9999,-9999,'-9999'
1000019,-9999,2663,56105,3038,2015-10-07 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,390,Fruits,Ripe fruits,Ripe fruits,390,6496,2015-10-07,12:00:00,280,0,-9999,-9999,-9999,17392,-9999,-9999,'-9999'
1000020,-9999,2408,31306,3680,2015-10-20 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,390,Fruits,Ripe fruits,Ripe fruits,390,7675,2015-10-20,12:00:00,293,0,-9999,-9999,-9999,15864,-9999,-9999,'-9999'
1000021,-9999,2282,37526,1709,2015-11-01 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,390,Fruits,Ripe fruits,Ripe fruits,390,6479,2015-11-01,12:00:00,305,0,-9999,-9999,-9999,15530,-9999,-9999,'-9999'
1000022,-9999,4474,43949,2153,2016-04-30 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,6076,2016-04-30,12:00:00,121,1,50,"101 to 1,000",-9999,14931,-9999,-9999,'-9999'
1000023,-9999,4510,30202,4255,2016-04-30 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,5122,2016-04-30,12:00:00,121,1,39,"101 to 1,000",-9999,14389,-9999,-9999,'-9999'
1000024,-9999,3327,38004,3931,2016-05-10 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,5197,2016-05-10,12:00:00,131,1,50,"101 to 1,000",-9999,16287,-9999,-9999,'-9999'
1000025,-9999,1608,57848,2147,2016-05-15 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,5186,2016-05-15,12:00:00,136,0,-9999,-9999,-9999,12511,-9999,-9999,'-9999'
1000026,-9999,4420,56370,1659,2016-05-30 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,7811,2016-05-30,12:00:00,151,0,-9999,-9999,-9999,17098,-9999,-9999,'-9999'
1000027,-9999,2955,36546,2369,2016-05-30 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,6986,2016-05-30,12:00:00,151,0,-9999,-9999,-9999,18338,-9999,-9999,'-9999'
1000028,-9999,4219,32911,2734,2016-05-31 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,6843,2016-05-31,12:00:00,152,0,-9999,-9999,-9999,18680,-9999,-9999,'-9999'
1000029,-9999,3976,48343,2663,2016-06-11 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,7598,2016-06-11,12:00:00,163,0,-9999,-9999,-9999,12385,-9999,-9999,'-9999'
